profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
67,1,1,1,1,-10,10km,10km,400m,Garage
352,1,1,2,1,-10,10km,15km,400m,On street paid
360,1,2,1,2,20,15km,15km,400m,On street paid
1,1,2,2,2,-20,5km,5km,200m,Garage
16,1,3,1,3,-20,5km,10km,200m,Garage
371,1,3,2,3,-20,15km,5km,800m,On street paid
201,1,4,1,4,-20,10km,10km,400m,On street free
128,1,4,2,4,0,10km,15km,800m,Garage
301,1,5,1,5,-20,5km,15km,200m,On street paid
179,1,5,2,5,10,15km,15km,200m,On street free
128,1,6,1,6,0,10km,15km,800m,Garage
368,1,6,2,6,0,10km,5km,800m,On street paid
59,1,7,1,7,10,15km,5km,400m,Garage
383,1,7,2,7,0,10km,10km,800m,On street paid
280,1,8,1,8,20,10km,5km,200m,On street paid
195,1,8,2,8,20,15km,5km,400m,On street free
95,1,9,1,9,20,5km,5km,800m,Garage
267,1,9,2,9,-10,15km,15km,800m,On street free
232,1,10,1,10,-10,10km,5km,800m,On street free
148,1,10,2,10,0,15km,5km,200m,On street free
267,2,1,1,11,-10,15km,15km,800m,On street free
213,2,1,2,11,0,5km,15km,400m,On street free
28,2,2,1,12,0,15km,10km,200m,Garage
360,2,2,2,12,20,15km,15km,400m,On street paid
179,2,3,1,13,10,15km,15km,200m,On street free
114,2,3,2,13,10,10km,10km,800m,Garage
77,2,4,1,14,-10,5km,15km,400m,Garage
244,2,4,2,14,10,5km,10km,800m,On street free
1,2,5,1,15,-20,5km,5km,200m,Garage
152,2,5,2,15,-10,5km,10km,200m,On street free
43,2,6,1,16,0,15km,15km,200m,Garage
260,2,6,2,16,20,5km,15km,800m,On street free
160,2,7,1,17,20,10km,10km,200m,On street free
16,2,7,2,17,-20,5km,10km,200m,Garage
51,2,8,1,18,-20,10km,5km,400m,Garage
95,2,8,2,18,20,5km,5km,800m,Garage
102,2,9,1,19,-10,15km,5km,800m,Garage
51,2,9,2,19,-20,10km,5km,400m,Garage
244,2,10,1,20,10,5km,10km,800m,On street free
301,2,10,2,20,-20,5km,15km,200m,On street paid
144,3,1,1,21,10,10km,5km,200m,On street free
124,3,1,2,21,10,5km,15km,800m,Garage
213,3,2,1,22,0,5km,15km,400m,On street free
201,3,2,2,22,-20,10km,10km,400m,On street free
251,3,3,1,23,-20,15km,10km,800m,On street free
77,3,3,2,23,-10,5km,15km,400m,Garage
148,3,4,1,24,0,15km,5km,200m,On street free
319,3,4,2,24,10,5km,5km,400m,On street paid
75,3,5,1,25,20,15km,10km,400m,Garage
251,3,5,2,25,-20,15km,10km,800m,On street free
260,3,6,1,26,20,5km,15km,800m,On street free
28,3,6,2,26,0,15km,10km,200m,Garage
124,3,7,1,27,10,5km,15km,800m,Garage
297,3,7,2,27,-10,15km,10km,200m,On street paid
383,3,8,1,28,0,10km,10km,800m,On street paid
280,3,8,2,28,20,10km,5km,200m,On street paid
40,3,9,1,29,20,10km,15km,200m,Garage
160,3,9,2,29,20,10km,10km,200m,On street free
401,3,10,1,30,-20,15km,15km,800m,On street paid
59,3,10,2,30,10,15km,5km,400m,Garage
368,4,1,1,31,0,10km,5km,800m,On street paid
344,4,1,2,31,10,15km,10km,400m,On street paid
297,4,2,1,32,-10,15km,10km,200m,On street paid
40,4,2,2,32,20,10km,15km,200m,Garage
309,4,3,1,33,10,10km,15km,200m,On street paid
144,4,3,2,33,10,10km,5km,200m,On street free
195,4,4,1,34,20,15km,5km,400m,On street free
380,4,4,2,34,20,5km,10km,800m,On street paid
371,4,5,1,35,-20,15km,5km,800m,On street paid
333,4,5,2,35,0,5km,10km,400m,On street paid
319,4,6,1,36,10,5km,5km,400m,On street paid
75,4,6,2,36,20,15km,10km,400m,Garage
344,4,7,1,37,10,15km,10km,400m,On street paid
102,4,7,2,37,-10,15km,5km,800m,Garage
183,4,8,1,38,0,5km,5km,400m,On street free
309,4,8,2,38,10,10km,15km,200m,On street paid
152,4,9,1,39,-10,5km,10km,200m,On street free
232,4,9,2,39,-10,10km,5km,800m,On street free
114,4,10,1,40,10,10km,10km,800m,Garage
67,4,10,2,40,-10,10km,10km,400m,Garage
333,5,1,1,41,0,5km,10km,400m,On street paid
216,5,1,2,41,-20,10km,15km,400m,On street free
216,5,2,1,42,-20,10km,15km,400m,On street free
401,5,2,2,42,-20,15km,15km,800m,On street paid
352,5,3,1,43,-10,10km,15km,400m,On street paid
183,5,3,2,43,0,5km,5km,400m,On street free
272,5,4,1,44,-10,5km,5km,200m,On street paid
43,5,4,2,44,0,15km,15km,200m,Garage
380,5,5,1,45,20,5km,10km,800m,On street paid
272,5,5,2,45,-10,5km,5km,200m,On street paid
67,5,6,1,46,-10,10km,10km,400m,Garage
352,5,6,2,46,-10,10km,15km,400m,On street paid
360,5,7,1,47,20,15km,15km,400m,On street paid
1,5,7,2,47,-20,5km,5km,200m,Garage
16,5,8,1,48,-20,5km,10km,200m,Garage
371,5,8,2,48,-20,15km,5km,800m,On street paid
201,5,9,1,49,-20,10km,10km,400m,On street free
128,5,9,2,49,0,10km,15km,800m,Garage
301,5,10,1,50,-20,5km,15km,200m,On street paid
179,5,10,2,50,10,15km,15km,200m,On street free
128,6,1,1,51,0,10km,15km,800m,Garage
368,6,1,2,51,0,10km,5km,800m,On street paid
59,6,2,1,52,10,15km,5km,400m,Garage
383,6,2,2,52,0,10km,10km,800m,On street paid
280,6,3,1,53,20,10km,5km,200m,On street paid
195,6,3,2,53,20,15km,5km,400m,On street free
95,6,4,1,54,20,5km,5km,800m,Garage
267,6,4,2,54,-10,15km,15km,800m,On street free
232,6,5,1,55,-10,10km,5km,800m,On street free
148,6,5,2,55,0,15km,5km,200m,On street free
267,6,6,1,56,-10,15km,15km,800m,On street free
213,6,6,2,56,0,5km,15km,400m,On street free
28,6,7,1,57,0,15km,10km,200m,Garage
360,6,7,2,57,20,15km,15km,400m,On street paid
179,6,8,1,58,10,15km,15km,200m,On street free
114,6,8,2,58,10,10km,10km,800m,Garage
77,6,9,1,59,-10,5km,15km,400m,Garage
244,6,9,2,59,10,5km,10km,800m,On street free
1,6,10,1,60,-20,5km,5km,200m,Garage
152,6,10,2,60,-10,5km,10km,200m,On street free
43,7,1,1,61,0,15km,15km,200m,Garage
260,7,1,2,61,20,5km,15km,800m,On street free
160,7,2,1,62,20,10km,10km,200m,On street free
16,7,2,2,62,-20,5km,10km,200m,Garage
51,7,3,1,63,-20,10km,5km,400m,Garage
95,7,3,2,63,20,5km,5km,800m,Garage
102,7,4,1,64,-10,15km,5km,800m,Garage
51,7,4,2,64,-20,10km,5km,400m,Garage
244,7,5,1,65,10,5km,10km,800m,On street free
301,7,5,2,65,-20,5km,15km,200m,On street paid
144,7,6,1,66,10,10km,5km,200m,On street free
124,7,6,2,66,10,5km,15km,800m,Garage
213,7,7,1,67,0,5km,15km,400m,On street free
201,7,7,2,67,-20,10km,10km,400m,On street free
251,7,8,1,68,-20,15km,10km,800m,On street free
77,7,8,2,68,-10,5km,15km,400m,Garage
148,7,9,1,69,0,15km,5km,200m,On street free
319,7,9,2,69,10,5km,5km,400m,On street paid
75,7,10,1,70,20,15km,10km,400m,Garage
251,7,10,2,70,-20,15km,10km,800m,On street free
260,8,1,1,71,20,5km,15km,800m,On street free
28,8,1,2,71,0,15km,10km,200m,Garage
124,8,2,1,72,10,5km,15km,800m,Garage
297,8,2,2,72,-10,15km,10km,200m,On street paid
383,8,3,1,73,0,10km,10km,800m,On street paid
280,8,3,2,73,20,10km,5km,200m,On street paid
40,8,4,1,74,20,10km,15km,200m,Garage
160,8,4,2,74,20,10km,10km,200m,On street free
401,8,5,1,75,-20,15km,15km,800m,On street paid
59,8,5,2,75,10,15km,5km,400m,Garage
