profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
144,1,1,1,1,10,10km,500 meters,200,Förhyrd plats i området
148,1,1,2,1,0,15km,500 meters,200,Förhyrd plats i området
244,1,2,1,2,10,5km,5km,800,Förhyrd plats i området
368,1,2,2,2,0,10km,500 meters,800,gratis områdets parkering
40,1,3,1,3,20,10km,15km,200,Garage
77,1,3,2,3,-10,5km,15km,400,Garage
201,1,4,1,4,-20,10km,5km,400,Förhyrd plats i området
251,1,4,2,4,-20,15km,5km,800,Förhyrd plats i området
179,1,5,1,5,10,15km,15km,200,Förhyrd plats i området
297,1,5,2,5,-10,15km,5km,200,gratis områdets parkering
297,1,6,1,6,-10,15km,5km,200,gratis områdets parkering
201,1,6,2,6,-20,10km,5km,400,Förhyrd plats i området
102,1,7,1,7,-10,15km,500 meters,800,Garage
216,1,7,2,7,-20,10km,15km,400,Förhyrd plats i området
16,1,8,1,8,-20,5km,5km,200,Garage
183,1,8,2,8,0,5km,500 meters,400,Förhyrd plats i området
95,1,9,1,9,20,5km,500 meters,800,Garage
40,1,9,2,9,20,10km,15km,200,Garage
51,2,1,1,10,-20,10km,500 meters,400,Garage
380,2,1,2,10,20,5km,5km,800,gratis områdets parkering
344,2,2,1,11,10,15km,5km,400,gratis områdets parkering
95,2,2,2,11,20,5km,500 meters,800,Garage
309,2,3,1,12,10,10km,15km,200,gratis områdets parkering
144,2,3,2,12,10,10km,500 meters,200,Förhyrd plats i området
260,2,4,1,13,20,5km,15km,800,Förhyrd plats i området
352,2,4,2,13,-10,10km,15km,400,gratis områdets parkering
114,2,5,1,14,10,10km,5km,800,Garage
179,2,5,2,14,10,15km,15km,200,Förhyrd plats i området
352,2,6,1,15,-10,10km,15km,400,gratis områdets parkering
244,2,6,2,15,10,5km,5km,800,Förhyrd plats i området
280,2,7,1,16,20,10km,500 meters,200,gratis områdets parkering
43,2,7,2,16,0,15km,15km,200,Garage
319,2,8,1,17,10,5km,500 meters,400,gratis områdets parkering
160,2,8,2,17,20,10km,5km,200,Förhyrd plats i området
401,2,9,1,18,-20,15km,15km,800,gratis områdets parkering
114,2,9,2,18,10,10km,5km,800,Garage
213,3,1,1,19,0,5km,15km,400,Förhyrd plats i området
309,3,1,2,19,10,10km,15km,200,gratis områdets parkering
371,3,2,1,20,-20,15km,500 meters,800,gratis områdets parkering
16,3,2,2,20,-20,5km,5km,200,Garage
360,3,3,1,21,20,15km,15km,400,gratis områdets parkering
195,3,3,2,21,20,15km,500 meters,400,Förhyrd plats i området
59,3,4,1,22,10,15km,500 meters,400,Garage
152,3,4,2,22,-10,5km,5km,200,Förhyrd plats i området
232,3,5,1,23,-10,10km,500 meters,800,Förhyrd plats i området
102,3,5,2,23,-10,15km,500 meters,800,Garage
333,3,6,1,24,0,5km,5km,400,gratis områdets parkering
272,3,6,2,24,-10,5km,500 meters,200,gratis områdets parkering
43,3,7,1,25,0,15km,15km,200,Garage
344,3,7,2,25,10,15km,5km,400,gratis områdets parkering
160,3,8,1,26,20,10km,5km,200,Förhyrd plats i området
28,3,8,2,26,0,15km,5km,200,Garage
195,3,9,1,27,20,15km,500 meters,400,Förhyrd plats i området
51,3,9,2,27,-20,10km,500 meters,400,Garage
75,4,1,1,28,20,15km,5km,400,Garage
67,4,1,2,28,-10,10km,5km,400,Garage
148,4,2,1,29,0,15km,500 meters,200,Förhyrd plats i området
301,4,2,2,29,-20,5km,15km,200,gratis områdets parkering
67,4,3,1,30,-10,10km,5km,400,Garage
59,4,3,2,30,10,15km,500 meters,400,Garage
383,4,4,1,31,0,10km,5km,800,gratis områdets parkering
401,4,4,2,31,-20,15km,15km,800,gratis områdets parkering
128,4,5,1,32,0,10km,15km,800,Garage
267,4,5,2,32,-10,15km,15km,800,Förhyrd plats i området
28,4,6,1,33,0,15km,5km,200,Garage
319,4,6,2,33,10,5km,500 meters,400,gratis områdets parkering
301,4,7,1,34,-20,5km,15km,200,gratis områdets parkering
333,4,7,2,34,0,5km,5km,400,gratis områdets parkering
216,4,8,1,35,-20,10km,15km,400,Förhyrd plats i området
232,4,8,2,35,-10,10km,500 meters,800,Förhyrd plats i området
272,4,9,1,36,-10,5km,500 meters,200,gratis områdets parkering
383,4,9,2,36,0,10km,5km,800,gratis områdets parkering
368,5,1,1,37,0,10km,500 meters,800,gratis områdets parkering
75,5,1,2,37,20,15km,5km,400,Garage
124,5,2,1,38,10,5km,15km,800,Garage
128,5,2,2,38,0,10km,15km,800,Garage
380,5,3,1,39,20,5km,5km,800,gratis områdets parkering
213,5,3,2,39,0,5km,15km,400,Förhyrd plats i området
251,5,4,1,40,-20,15km,5km,800,Förhyrd plats i området
124,5,4,2,40,10,5km,15km,800,Garage
152,5,5,1,41,-10,5km,5km,200,Förhyrd plats i området
360,5,5,2,41,20,15km,15km,400,gratis områdets parkering
183,5,6,1,42,0,5km,500 meters,400,Förhyrd plats i området
280,5,6,2,42,20,10km,500 meters,200,gratis områdets parkering
77,5,7,1,43,-10,5km,15km,400,Garage
371,5,7,2,43,-20,15km,500 meters,800,gratis områdets parkering
1,5,8,1,44,-20,5km,500 meters,200,Garage
260,5,8,2,44,20,5km,15km,800,Förhyrd plats i området
267,5,9,1,45,-10,15km,15km,800,Förhyrd plats i området
1,5,9,2,45,-20,5km,500 meters,200,Garage
144,6,1,1,46,10,10km,500 meters,200,Förhyrd plats i området
148,6,1,2,46,0,15km,500 meters,200,Förhyrd plats i området
244,6,2,1,47,10,5km,5km,800,Förhyrd plats i området
368,6,2,2,47,0,10km,500 meters,800,gratis områdets parkering
40,6,3,1,48,20,10km,15km,200,Garage
77,6,3,2,48,-10,5km,15km,400,Garage
201,6,4,1,49,-20,10km,5km,400,Förhyrd plats i området
251,6,4,2,49,-20,15km,5km,800,Förhyrd plats i området
179,6,5,1,50,10,15km,15km,200,Förhyrd plats i området
297,6,5,2,50,-10,15km,5km,200,gratis områdets parkering
297,6,6,1,51,-10,15km,5km,200,gratis områdets parkering
201,6,6,2,51,-20,10km,5km,400,Förhyrd plats i området
102,6,7,1,52,-10,15km,500 meters,800,Garage
216,6,7,2,52,-20,10km,15km,400,Förhyrd plats i området
16,6,8,1,53,-20,5km,5km,200,Garage
183,6,8,2,53,0,5km,500 meters,400,Förhyrd plats i området
95,6,9,1,54,20,5km,500 meters,800,Garage
40,6,9,2,54,20,10km,15km,200,Garage
51,7,1,1,55,-20,10km,500 meters,400,Garage
380,7,1,2,55,20,5km,5km,800,gratis områdets parkering
344,7,2,1,56,10,15km,5km,400,gratis områdets parkering
95,7,2,2,56,20,5km,500 meters,800,Garage
309,7,3,1,57,10,10km,15km,200,gratis områdets parkering
144,7,3,2,57,10,10km,500 meters,200,Förhyrd plats i området
260,7,4,1,58,20,5km,15km,800,Förhyrd plats i området
352,7,4,2,58,-10,10km,15km,400,gratis områdets parkering
114,7,5,1,59,10,10km,5km,800,Garage
179,7,5,2,59,10,15km,15km,200,Förhyrd plats i området
352,7,6,1,60,-10,10km,15km,400,gratis områdets parkering
244,7,6,2,60,10,5km,5km,800,Förhyrd plats i området
280,7,7,1,61,20,10km,500 meters,200,gratis områdets parkering
43,7,7,2,61,0,15km,15km,200,Garage
319,7,8,1,62,10,5km,500 meters,400,gratis områdets parkering
160,7,8,2,62,20,10km,5km,200,Förhyrd plats i området
401,7,9,1,63,-20,15km,15km,800,gratis områdets parkering
114,7,9,2,63,10,10km,5km,800,Garage
213,8,1,1,64,0,5km,15km,400,Förhyrd plats i området
309,8,1,2,64,10,10km,15km,200,gratis områdets parkering
371,8,2,1,65,-20,15km,500 meters,800,gratis områdets parkering
16,8,2,2,65,-20,5km,5km,200,Garage
360,8,3,1,66,20,15km,15km,400,gratis områdets parkering
195,8,3,2,66,20,15km,500 meters,400,Förhyrd plats i området
59,8,4,1,67,10,15km,500 meters,400,Garage
152,8,4,2,67,-10,5km,5km,200,Förhyrd plats i området
232,8,5,1,68,-10,10km,500 meters,800,Förhyrd plats i området
102,8,5,2,68,-10,15km,500 meters,800,Garage
333,8,6,1,69,0,5km,5km,400,gratis områdets parkering
272,8,6,2,69,-10,5km,500 meters,200,gratis områdets parkering
43,8,7,1,70,0,15km,15km,200,Garage
344,8,7,2,70,10,15km,5km,400,gratis områdets parkering
160,8,8,1,71,20,10km,5km,200,Förhyrd plats i området
28,8,8,2,71,0,15km,5km,200,Garage
195,8,9,1,72,20,15km,500 meters,400,Förhyrd plats i området
51,8,9,2,72,-20,10km,500 meters,400,Garage
75,9,1,1,73,20,15km,5km,400,Garage
67,9,1,2,73,-10,10km,5km,400,Garage
148,9,2,1,74,0,15km,500 meters,200,Förhyrd plats i området
301,9,2,2,74,-20,5km,15km,200,gratis områdets parkering
67,9,3,1,75,-10,10km,5km,400,Garage
59,9,3,2,75,10,15km,500 meters,400,Garage
383,9,4,1,76,0,10km,5km,800,gratis områdets parkering
401,9,4,2,76,-20,15km,15km,800,gratis områdets parkering
128,9,5,1,77,0,10km,15km,800,Garage
267,9,5,2,77,-10,15km,15km,800,Förhyrd plats i området
28,9,6,1,78,0,15km,5km,200,Garage
319,9,6,2,78,10,5km,500 meters,400,gratis områdets parkering
301,9,7,1,79,-20,5km,15km,200,gratis områdets parkering
333,9,7,2,79,0,5km,5km,400,gratis områdets parkering
216,9,8,1,80,-20,10km,15km,400,Förhyrd plats i området
232,9,8,2,80,-10,10km,500 meters,800,Förhyrd plats i området
272,9,9,1,81,-10,5km,500 meters,200,gratis områdets parkering
383,9,9,2,81,0,10km,5km,800,gratis områdets parkering
368,10,1,1,82,0,10km,500 meters,800,gratis områdets parkering
75,10,1,2,82,20,15km,5km,400,Garage
124,10,2,1,83,10,5km,15km,800,Garage
128,10,2,2,83,0,10km,15km,800,Garage
380,10,3,1,84,20,5km,5km,800,gratis områdets parkering
213,10,3,2,84,0,5km,15km,400,Förhyrd plats i området
251,10,4,1,85,-20,15km,5km,800,Förhyrd plats i området
124,10,4,2,85,10,5km,15km,800,Garage
152,10,5,1,86,-10,5km,5km,200,Förhyrd plats i området
360,10,5,2,86,20,15km,15km,400,gratis områdets parkering
183,10,6,1,87,0,5km,500 meters,400,Förhyrd plats i området
280,10,6,2,87,20,10km,500 meters,200,gratis områdets parkering
77,10,7,1,88,-10,5km,15km,400,Garage
371,10,7,2,88,-20,15km,500 meters,800,gratis områdets parkering
1,10,8,1,89,-20,5km,500 meters,200,Garage
260,10,8,2,89,20,5km,15km,800,Förhyrd plats i området
267,10,9,1,90,-10,15km,15km,800,Förhyrd plats i området
1,10,9,2,90,-20,5km,500 meters,200,Garage
144,11,1,1,91,10,10km,500 meters,200,Förhyrd plats i området
148,11,1,2,91,0,15km,500 meters,200,Förhyrd plats i området
244,11,2,1,92,10,5km,5km,800,Förhyrd plats i området
368,11,2,2,92,0,10km,500 meters,800,gratis områdets parkering
40,11,3,1,93,20,10km,15km,200,Garage
77,11,3,2,93,-10,5km,15km,400,Garage
201,11,4,1,94,-20,10km,5km,400,Förhyrd plats i området
251,11,4,2,94,-20,15km,5km,800,Förhyrd plats i området
179,11,5,1,95,10,15km,15km,200,Förhyrd plats i området
297,11,5,2,95,-10,15km,5km,200,gratis områdets parkering
297,11,6,1,96,-10,15km,5km,200,gratis områdets parkering
201,11,6,2,96,-20,10km,5km,400,Förhyrd plats i området
102,11,7,1,97,-10,15km,500 meters,800,Garage
216,11,7,2,97,-20,10km,15km,400,Förhyrd plats i området
16,11,8,1,98,-20,5km,5km,200,Garage
183,11,8,2,98,0,5km,500 meters,400,Förhyrd plats i området
95,11,9,1,99,20,5km,500 meters,800,Garage
40,11,9,2,99,20,10km,15km,200,Garage
51,12,1,1,100,-20,10km,500 meters,400,Garage
380,12,1,2,100,20,5km,5km,800,gratis områdets parkering
344,12,2,1,101,10,15km,5km,400,gratis områdets parkering
95,12,2,2,101,20,5km,500 meters,800,Garage
309,12,3,1,102,10,10km,15km,200,gratis områdets parkering
144,12,3,2,102,10,10km,500 meters,200,Förhyrd plats i området
260,12,4,1,103,20,5km,15km,800,Förhyrd plats i området
352,12,4,2,103,-10,10km,15km,400,gratis områdets parkering
114,12,5,1,104,10,10km,5km,800,Garage
179,12,5,2,104,10,15km,15km,200,Förhyrd plats i området
352,12,6,1,105,-10,10km,15km,400,gratis områdets parkering
244,12,6,2,105,10,5km,5km,800,Förhyrd plats i området
280,12,7,1,106,20,10km,500 meters,200,gratis områdets parkering
43,12,7,2,106,0,15km,15km,200,Garage
319,12,8,1,107,10,5km,500 meters,400,gratis områdets parkering
160,12,8,2,107,20,10km,5km,200,Förhyrd plats i området
401,12,9,1,108,-20,15km,15km,800,gratis områdets parkering
114,12,9,2,108,10,10km,5km,800,Garage
213,13,1,1,109,0,5km,15km,400,Förhyrd plats i området
309,13,1,2,109,10,10km,15km,200,gratis områdets parkering
371,13,2,1,110,-20,15km,500 meters,800,gratis områdets parkering
16,13,2,2,110,-20,5km,5km,200,Garage
360,13,3,1,111,20,15km,15km,400,gratis områdets parkering
195,13,3,2,111,20,15km,500 meters,400,Förhyrd plats i området
59,13,4,1,112,10,15km,500 meters,400,Garage
152,13,4,2,112,-10,5km,5km,200,Förhyrd plats i området
232,13,5,1,113,-10,10km,500 meters,800,Förhyrd plats i området
102,13,5,2,113,-10,15km,500 meters,800,Garage
333,13,6,1,114,0,5km,5km,400,gratis områdets parkering
272,13,6,2,114,-10,5km,500 meters,200,gratis områdets parkering
43,13,7,1,115,0,15km,15km,200,Garage
344,13,7,2,115,10,15km,5km,400,gratis områdets parkering
160,13,8,1,116,20,10km,5km,200,Förhyrd plats i området
28,13,8,2,116,0,15km,5km,200,Garage
195,13,9,1,117,20,15km,500 meters,400,Förhyrd plats i området
51,13,9,2,117,-20,10km,500 meters,400,Garage
75,14,1,1,118,20,15km,5km,400,Garage
67,14,1,2,118,-10,10km,5km,400,Garage
148,14,2,1,119,0,15km,500 meters,200,Förhyrd plats i området
301,14,2,2,119,-20,5km,15km,200,gratis områdets parkering
67,14,3,1,120,-10,10km,5km,400,Garage
59,14,3,2,120,10,15km,500 meters,400,Garage
