profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
1,1,1,1,1,0,500 meter,500 meter,200,reserverad garageplats
28,1,1,2,1,-10,15km,5km,200,reserverad garageplats
371,1,2,1,2,0,15km,500 meter,800,ingen P-plats
333,1,2,2,2,-10,500 meter,5km,400,ingen P-plats
152,1,3,1,3,-20,500 meter,5km,200, reserverad P-plats
144,1,3,2,3,10,5km,500 meter,200, reserverad P-plats
59,1,4,1,4,10,15km,500 meter,400,reserverad garageplats
368,1,4,2,4,-10,5km,500 meter,800,ingen P-plats
183,1,5,1,5,-10,500 meter,500 meter,400, reserverad P-plats
128,1,5,2,5,-10,5km,15km,800,reserverad garageplats
28,1,6,1,6,-10,15km,5km,200,reserverad garageplats
160,1,6,2,6,20,5km,5km,200, reserverad P-plats
267,1,7,1,7,-20,15km,15km,800, reserverad P-plats
280,1,7,2,7,20,5km,500 meter,200,ingen P-plats
124,1,8,1,8,10,500 meter,15km,800,reserverad garageplats
251,1,8,2,8,0,15km,5km,800, reserverad P-plats
280,1,9,1,9,20,5km,500 meter,200,ingen P-plats
67,1,9,2,9,-20,5km,5km,400,reserverad garageplats
16,2,1,1,10,0,500 meter,5km,200,reserverad garageplats
232,2,1,2,10,-20,5km,500 meter,800, reserverad P-plats
148,2,2,1,11,-10,15km,500 meter,200, reserverad P-plats
309,2,2,2,11,10,5km,15km,200,ingen P-plats
301,2,3,1,12,0,500 meter,15km,200,ingen P-plats
102,2,3,2,12,-20,15km,500 meter,800,reserverad garageplats
67,2,4,1,13,-20,5km,5km,400,reserverad garageplats
371,2,4,2,13,0,15km,500 meter,800,ingen P-plats
251,2,5,1,14,0,15km,5km,800, reserverad P-plats
183,2,5,2,14,-10,500 meter,500 meter,400, reserverad P-plats
244,2,6,1,15,10,500 meter,5km,800, reserverad P-plats
267,2,6,2,15,-20,15km,15km,800, reserverad P-plats
401,2,7,1,16,0,15km,15km,800,ingen P-plats
195,2,7,2,16,20,15km,500 meter,400, reserverad P-plats
195,2,8,1,17,20,15km,500 meter,400, reserverad P-plats
1,2,8,2,17,0,500 meter,500 meter,200,reserverad garageplats
380,2,9,1,18,20,500 meter,5km,800,ingen P-plats
244,2,9,2,18,10,500 meter,5km,800, reserverad P-plats
114,3,1,1,19,10,5km,5km,800,reserverad garageplats
77,3,1,2,19,-20,500 meter,15km,400,reserverad garageplats
128,3,2,1,20,-10,5km,15km,800,reserverad garageplats
95,3,2,2,20,20,500 meter,500 meter,800,reserverad garageplats
260,3,3,1,21,20,500 meter,15km,800, reserverad P-plats
40,3,3,2,21,20,5km,15km,200,reserverad garageplats
309,3,4,1,22,10,5km,15km,200,ingen P-plats
51,3,4,2,22,0,5km,500 meter,400,reserverad garageplats
272,3,5,1,23,-20,500 meter,500 meter,200,ingen P-plats
344,3,5,2,23,10,15km,5km,400,ingen P-plats
216,3,6,1,24,0,5km,15km,400, reserverad P-plats
383,3,6,2,24,-10,5km,5km,800,ingen P-plats
368,3,7,1,25,-10,5km,500 meter,800,ingen P-plats
16,3,7,2,25,0,500 meter,5km,200,reserverad garageplats
40,3,8,1,26,20,5km,15km,200,reserverad garageplats
43,3,8,2,26,-10,15km,15km,200,reserverad garageplats
77,3,9,1,27,-20,500 meter,15km,400,reserverad garageplats
59,3,9,2,27,10,15km,500 meter,400,reserverad garageplats
360,4,1,1,28,20,15km,15km,400,ingen P-plats
297,4,1,2,28,-20,15km,5km,200,ingen P-plats
319,4,2,1,29,10,500 meter,500 meter,400,ingen P-plats
360,4,2,2,29,20,15km,15km,400,ingen P-plats
297,4,3,1,30,-20,15km,5km,200,ingen P-plats
75,4,3,2,30,20,15km,5km,400,reserverad garageplats
383,4,4,1,31,-10,5km,5km,800,ingen P-plats
260,4,4,2,31,20,500 meter,15km,800, reserverad P-plats
75,4,5,1,32,20,15km,5km,400,reserverad garageplats
319,4,5,2,32,10,500 meter,500 meter,400,ingen P-plats
201,4,6,1,33,0,5km,5km,400, reserverad P-plats
352,4,6,2,33,-20,5km,15km,400,ingen P-plats
102,4,7,1,34,-20,15km,500 meter,800,reserverad garageplats
380,4,7,2,34,20,500 meter,5km,800,ingen P-plats
51,4,8,1,35,0,5km,500 meter,400,reserverad garageplats
213,4,8,2,35,-10,500 meter,15km,400, reserverad P-plats
232,4,9,1,36,-20,5km,500 meter,800, reserverad P-plats
124,4,9,2,36,10,500 meter,15km,800,reserverad garageplats
95,5,1,1,37,20,500 meter,500 meter,800,reserverad garageplats
201,5,1,2,37,0,5km,5km,400, reserverad P-plats
144,5,2,1,38,10,5km,500 meter,200, reserverad P-plats
148,5,2,2,38,-10,15km,500 meter,200, reserverad P-plats
333,5,3,1,39,-10,500 meter,5km,400,ingen P-plats
401,5,3,2,39,0,15km,15km,800,ingen P-plats
344,5,4,1,40,10,15km,5km,400,ingen P-plats
301,5,4,2,40,0,500 meter,15km,200,ingen P-plats
179,5,5,1,41,10,15km,15km,200, reserverad P-plats
272,5,5,2,41,-20,500 meter,500 meter,200,ingen P-plats
160,5,6,1,42,20,5km,5km,200, reserverad P-plats
152,5,6,2,42,-20,500 meter,5km,200, reserverad P-plats
43,5,7,1,43,-10,15km,15km,200,reserverad garageplats
114,5,7,2,43,10,5km,5km,800,reserverad garageplats
213,5,8,1,44,-10,500 meter,15km,400, reserverad P-plats
216,5,8,2,44,0,5km,15km,400, reserverad P-plats
352,5,9,1,45,-20,5km,15km,400,ingen P-plats
179,5,9,2,45,10,15km,15km,200, reserverad P-plats
1,6,1,1,46,0,500 meter,500 meter,200,reserverad garageplats
28,6,1,2,46,-10,15km,5km,200,reserverad garageplats
371,6,2,1,47,0,15km,500 meter,800,ingen P-plats
333,6,2,2,47,-10,500 meter,5km,400,ingen P-plats
152,6,3,1,48,-20,500 meter,5km,200, reserverad P-plats
144,6,3,2,48,10,5km,500 meter,200, reserverad P-plats
59,6,4,1,49,10,15km,500 meter,400,reserverad garageplats
368,6,4,2,49,-10,5km,500 meter,800,ingen P-plats
183,6,5,1,50,-10,500 meter,500 meter,400, reserverad P-plats
128,6,5,2,50,-10,5km,15km,800,reserverad garageplats
28,6,6,1,51,-10,15km,5km,200,reserverad garageplats
160,6,6,2,51,20,5km,5km,200, reserverad P-plats
267,6,7,1,52,-20,15km,15km,800, reserverad P-plats
280,6,7,2,52,20,5km,500 meter,200,ingen P-plats
124,6,8,1,53,10,500 meter,15km,800,reserverad garageplats
251,6,8,2,53,0,15km,5km,800, reserverad P-plats
280,6,9,1,54,20,5km,500 meter,200,ingen P-plats
67,6,9,2,54,-20,5km,5km,400,reserverad garageplats
16,7,1,1,55,0,500 meter,5km,200,reserverad garageplats
232,7,1,2,55,-20,5km,500 meter,800, reserverad P-plats
148,7,2,1,56,-10,15km,500 meter,200, reserverad P-plats
309,7,2,2,56,10,5km,15km,200,ingen P-plats
301,7,3,1,57,0,500 meter,15km,200,ingen P-plats
102,7,3,2,57,-20,15km,500 meter,800,reserverad garageplats
67,7,4,1,58,-20,5km,5km,400,reserverad garageplats
371,7,4,2,58,0,15km,500 meter,800,ingen P-plats
251,7,5,1,59,0,15km,5km,800, reserverad P-plats
183,7,5,2,59,-10,500 meter,500 meter,400, reserverad P-plats
244,7,6,1,60,10,500 meter,5km,800, reserverad P-plats
267,7,6,2,60,-20,15km,15km,800, reserverad P-plats
401,7,7,1,61,0,15km,15km,800,ingen P-plats
195,7,7,2,61,20,15km,500 meter,400, reserverad P-plats
195,7,8,1,62,20,15km,500 meter,400, reserverad P-plats
1,7,8,2,62,0,500 meter,500 meter,200,reserverad garageplats
380,7,9,1,63,20,500 meter,5km,800,ingen P-plats
244,7,9,2,63,10,500 meter,5km,800, reserverad P-plats
114,8,1,1,64,10,5km,5km,800,reserverad garageplats
77,8,1,2,64,-20,500 meter,15km,400,reserverad garageplats
128,8,2,1,65,-10,5km,15km,800,reserverad garageplats
95,8,2,2,65,20,500 meter,500 meter,800,reserverad garageplats
260,8,3,1,66,20,500 meter,15km,800, reserverad P-plats
40,8,3,2,66,20,5km,15km,200,reserverad garageplats
309,8,4,1,67,10,5km,15km,200,ingen P-plats
51,8,4,2,67,0,5km,500 meter,400,reserverad garageplats
272,8,5,1,68,-20,500 meter,500 meter,200,ingen P-plats
344,8,5,2,68,10,15km,5km,400,ingen P-plats
216,8,6,1,69,0,5km,15km,400, reserverad P-plats
383,8,6,2,69,-10,5km,5km,800,ingen P-plats
368,8,7,1,70,-10,5km,500 meter,800,ingen P-plats
16,8,7,2,70,0,500 meter,5km,200,reserverad garageplats
40,8,8,1,71,20,5km,15km,200,reserverad garageplats
43,8,8,2,71,-10,15km,15km,200,reserverad garageplats
77,8,9,1,72,-20,500 meter,15km,400,reserverad garageplats
59,8,9,2,72,10,15km,500 meter,400,reserverad garageplats
360,9,1,1,73,20,15km,15km,400,ingen P-plats
297,9,1,2,73,-20,15km,5km,200,ingen P-plats
319,9,2,1,74,10,500 meter,500 meter,400,ingen P-plats
360,9,2,2,74,20,15km,15km,400,ingen P-plats
297,9,3,1,75,-20,15km,5km,200,ingen P-plats
75,9,3,2,75,20,15km,5km,400,reserverad garageplats
383,9,4,1,76,-10,5km,5km,800,ingen P-plats
260,9,4,2,76,20,500 meter,15km,800, reserverad P-plats
75,9,5,1,77,20,15km,5km,400,reserverad garageplats
319,9,5,2,77,10,500 meter,500 meter,400,ingen P-plats
201,9,6,1,78,0,5km,5km,400, reserverad P-plats
352,9,6,2,78,-20,5km,15km,400,ingen P-plats
102,9,7,1,79,-20,15km,500 meter,800,reserverad garageplats
380,9,7,2,79,20,500 meter,5km,800,ingen P-plats
51,9,8,1,80,0,5km,500 meter,400,reserverad garageplats
213,9,8,2,80,-10,500 meter,15km,400, reserverad P-plats
232,9,9,1,81,-20,5km,500 meter,800, reserverad P-plats
124,9,9,2,81,10,500 meter,15km,800,reserverad garageplats
95,10,1,1,82,20,500 meter,500 meter,800,reserverad garageplats
201,10,1,2,82,0,5km,5km,400, reserverad P-plats
144,10,2,1,83,10,5km,500 meter,200, reserverad P-plats
148,10,2,2,83,-10,15km,500 meter,200, reserverad P-plats
333,10,3,1,84,-10,500 meter,5km,400,ingen P-plats
401,10,3,2,84,0,15km,15km,800,ingen P-plats
344,10,4,1,85,10,15km,5km,400,ingen P-plats
301,10,4,2,85,0,500 meter,15km,200,ingen P-plats
179,10,5,1,86,10,15km,15km,200, reserverad P-plats
272,10,5,2,86,-20,500 meter,500 meter,200,ingen P-plats
160,10,6,1,87,20,5km,5km,200, reserverad P-plats
152,10,6,2,87,-20,500 meter,5km,200, reserverad P-plats
43,10,7,1,88,-10,15km,15km,200,reserverad garageplats
114,10,7,2,88,10,5km,5km,800,reserverad garageplats
213,10,8,1,89,-10,500 meter,15km,400, reserverad P-plats
216,10,8,2,89,0,5km,15km,400, reserverad P-plats
352,10,9,1,90,-20,5km,15km,400,ingen P-plats
179,10,9,2,90,10,15km,15km,200, reserverad P-plats
1,11,1,1,91,0,500 meter,500 meter,200,reserverad garageplats
28,11,1,2,91,-10,15km,5km,200,reserverad garageplats
371,11,2,1,92,0,15km,500 meter,800,ingen P-plats
333,11,2,2,92,-10,500 meter,5km,400,ingen P-plats
152,11,3,1,93,-20,500 meter,5km,200, reserverad P-plats
144,11,3,2,93,10,5km,500 meter,200, reserverad P-plats
59,11,4,1,94,10,15km,500 meter,400,reserverad garageplats
368,11,4,2,94,-10,5km,500 meter,800,ingen P-plats
183,11,5,1,95,-10,500 meter,500 meter,400, reserverad P-plats
128,11,5,2,95,-10,5km,15km,800,reserverad garageplats
28,11,6,1,96,-10,15km,5km,200,reserverad garageplats
160,11,6,2,96,20,5km,5km,200, reserverad P-plats
267,11,7,1,97,-20,15km,15km,800, reserverad P-plats
280,11,7,2,97,20,5km,500 meter,200,ingen P-plats
124,11,8,1,98,10,500 meter,15km,800,reserverad garageplats
251,11,8,2,98,0,15km,5km,800, reserverad P-plats
280,11,9,1,99,20,5km,500 meter,200,ingen P-plats
67,11,9,2,99,-20,5km,5km,400,reserverad garageplats
16,12,1,1,100,0,500 meter,5km,200,reserverad garageplats
232,12,1,2,100,-20,5km,500 meter,800, reserverad P-plats
148,12,2,1,101,-10,15km,500 meter,200, reserverad P-plats
309,12,2,2,101,10,5km,15km,200,ingen P-plats
301,12,3,1,102,0,500 meter,15km,200,ingen P-plats
102,12,3,2,102,-20,15km,500 meter,800,reserverad garageplats
67,12,4,1,103,-20,5km,5km,400,reserverad garageplats
371,12,4,2,103,0,15km,500 meter,800,ingen P-plats
251,12,5,1,104,0,15km,5km,800, reserverad P-plats
183,12,5,2,104,-10,500 meter,500 meter,400, reserverad P-plats
244,12,6,1,105,10,500 meter,5km,800, reserverad P-plats
267,12,6,2,105,-20,15km,15km,800, reserverad P-plats
401,12,7,1,106,0,15km,15km,800,ingen P-plats
195,12,7,2,106,20,15km,500 meter,400, reserverad P-plats
195,12,8,1,107,20,15km,500 meter,400, reserverad P-plats
1,12,8,2,107,0,500 meter,500 meter,200,reserverad garageplats
380,12,9,1,108,20,500 meter,5km,800,ingen P-plats
244,12,9,2,108,10,500 meter,5km,800, reserverad P-plats
114,13,1,1,109,10,5km,5km,800,reserverad garageplats
77,13,1,2,109,-20,500 meter,15km,400,reserverad garageplats
128,13,2,1,110,-10,5km,15km,800,reserverad garageplats
95,13,2,2,110,20,500 meter,500 meter,800,reserverad garageplats
260,13,3,1,111,20,500 meter,15km,800, reserverad P-plats
40,13,3,2,111,20,5km,15km,200,reserverad garageplats
309,13,4,1,112,10,5km,15km,200,ingen P-plats
51,13,4,2,112,0,5km,500 meter,400,reserverad garageplats
272,13,5,1,113,-20,500 meter,500 meter,200,ingen P-plats
344,13,5,2,113,10,15km,5km,400,ingen P-plats
216,13,6,1,114,0,5km,15km,400, reserverad P-plats
383,13,6,2,114,-10,5km,5km,800,ingen P-plats
368,13,7,1,115,-10,5km,500 meter,800,ingen P-plats
16,13,7,2,115,0,500 meter,5km,200,reserverad garageplats
40,13,8,1,116,20,5km,15km,200,reserverad garageplats
43,13,8,2,116,-10,15km,15km,200,reserverad garageplats
77,13,9,1,117,-20,500 meter,15km,400,reserverad garageplats
59,13,9,2,117,10,15km,500 meter,400,reserverad garageplats
360,14,1,1,118,20,15km,15km,400,ingen P-plats
297,14,1,2,118,-20,15km,5km,200,ingen P-plats
319,14,2,1,119,10,500 meter,500 meter,400,ingen P-plats
360,14,2,2,119,20,15km,15km,400,ingen P-plats
297,14,3,1,120,-20,15km,5km,200,ingen P-plats
75,14,3,2,120,20,15km,5km,400,reserverad garageplats
383,14,4,1,121,-10,5km,5km,800,ingen P-plats
260,14,4,2,121,20,500 meter,15km,800, reserverad P-plats
75,14,5,1,122,20,15km,5km,400,reserverad garageplats
319,14,5,2,122,10,500 meter,500 meter,400,ingen P-plats
201,14,6,1,123,0,5km,5km,400, reserverad P-plats
352,14,6,2,123,-20,5km,15km,400,ingen P-plats
102,14,7,1,124,-20,15km,500 meter,800,reserverad garageplats
380,14,7,2,124,20,500 meter,5km,800,ingen P-plats
51,14,8,1,125,0,5km,500 meter,400,reserverad garageplats
213,14,8,2,125,-10,500 meter,15km,400, reserverad P-plats
232,14,9,1,126,-20,5km,500 meter,800, reserverad P-plats
124,14,9,2,126,10,500 meter,15km,800,reserverad garageplats
95,15,1,1,127,20,500 meter,500 meter,800,reserverad garageplats
201,15,1,2,127,0,5km,5km,400, reserverad P-plats
144,15,2,1,128,10,5km,500 meter,200, reserverad P-plats
148,15,2,2,128,-10,15km,500 meter,200, reserverad P-plats
333,15,3,1,129,-10,500 meter,5km,400,ingen P-plats
401,15,3,2,129,0,15km,15km,800,ingen P-plats
344,15,4,1,130,10,15km,5km,400,ingen P-plats
301,15,4,2,130,0,500 meter,15km,200,ingen P-plats
179,15,5,1,131,10,15km,15km,200, reserverad P-plats
272,15,5,2,131,-20,500 meter,500 meter,200,ingen P-plats
160,15,6,1,132,20,5km,5km,200, reserverad P-plats
152,15,6,2,132,-20,500 meter,5km,200, reserverad P-plats
43,15,7,1,133,-10,15km,15km,200,reserverad garageplats
114,15,7,2,133,10,5km,5km,800,reserverad garageplats
213,15,8,1,134,-10,500 meter,15km,400, reserverad P-plats
216,15,8,2,134,0,5km,15km,400, reserverad P-plats
352,15,9,1,135,-20,5km,15km,400,ingen P-plats
179,15,9,2,135,10,15km,15km,200, reserverad P-plats
1,16,1,1,136,0,500 meter,500 meter,200,reserverad garageplats
28,16,1,2,136,-10,15km,5km,200,reserverad garageplats
371,16,2,1,137,0,15km,500 meter,800,ingen P-plats
333,16,2,2,137,-10,500 meter,5km,400,ingen P-plats
152,16,3,1,138,-20,500 meter,5km,200, reserverad P-plats
144,16,3,2,138,10,5km,500 meter,200, reserverad P-plats
59,16,4,1,139,10,15km,500 meter,400,reserverad garageplats
368,16,4,2,139,-10,5km,500 meter,800,ingen P-plats
183,16,5,1,140,-10,500 meter,500 meter,400, reserverad P-plats
128,16,5,2,140,-10,5km,15km,800,reserverad garageplats
28,16,6,1,141,-10,15km,5km,200,reserverad garageplats
160,16,6,2,141,20,5km,5km,200, reserverad P-plats
267,16,7,1,142,-20,15km,15km,800, reserverad P-plats
280,16,7,2,142,20,5km,500 meter,200,ingen P-plats
124,16,8,1,143,10,500 meter,15km,800,reserverad garageplats
251,16,8,2,143,0,15km,5km,800, reserverad P-plats
280,16,9,1,144,20,5km,500 meter,200,ingen P-plats
67,16,9,2,144,-20,5km,5km,400,reserverad garageplats
16,17,1,1,145,0,500 meter,5km,200,reserverad garageplats
232,17,1,2,145,-20,5km,500 meter,800, reserverad P-plats
148,17,2,1,146,-10,15km,500 meter,200, reserverad P-plats
309,17,2,2,146,10,5km,15km,200,ingen P-plats
301,17,3,1,147,0,500 meter,15km,200,ingen P-plats
102,17,3,2,147,-20,15km,500 meter,800,reserverad garageplats
67,17,4,1,148,-20,5km,5km,400,reserverad garageplats
371,17,4,2,148,0,15km,500 meter,800,ingen P-plats
251,17,5,1,149,0,15km,5km,800, reserverad P-plats
183,17,5,2,149,-10,500 meter,500 meter,400, reserverad P-plats
244,17,6,1,150,10,500 meter,5km,800, reserverad P-plats
267,17,6,2,150,-20,15km,15km,800, reserverad P-plats
401,17,7,1,151,0,15km,15km,800,ingen P-plats
195,17,7,2,151,20,15km,500 meter,400, reserverad P-plats
195,17,8,1,152,20,15km,500 meter,400, reserverad P-plats
1,17,8,2,152,0,500 meter,500 meter,200,reserverad garageplats
380,17,9,1,153,20,500 meter,5km,800,ingen P-plats
244,17,9,2,153,10,500 meter,5km,800, reserverad P-plats
114,18,1,1,154,10,5km,5km,800,reserverad garageplats
77,18,1,2,154,-20,500 meter,15km,400,reserverad garageplats
128,18,2,1,155,-10,5km,15km,800,reserverad garageplats
95,18,2,2,155,20,500 meter,500 meter,800,reserverad garageplats
260,18,3,1,156,20,500 meter,15km,800, reserverad P-plats
40,18,3,2,156,20,5km,15km,200,reserverad garageplats
309,18,4,1,157,10,5km,15km,200,ingen P-plats
51,18,4,2,157,0,5km,500 meter,400,reserverad garageplats
272,18,5,1,158,-20,500 meter,500 meter,200,ingen P-plats
344,18,5,2,158,10,15km,5km,400,ingen P-plats
216,18,6,1,159,0,5km,15km,400, reserverad P-plats
383,18,6,2,159,-10,5km,5km,800,ingen P-plats
368,18,7,1,160,-10,5km,500 meter,800,ingen P-plats
16,18,7,2,160,0,500 meter,5km,200,reserverad garageplats
40,18,8,1,161,20,5km,15km,200,reserverad garageplats
43,18,8,2,161,-10,15km,15km,200,reserverad garageplats
77,18,9,1,162,-20,500 meter,15km,400,reserverad garageplats
59,18,9,2,162,10,15km,500 meter,400,reserverad garageplats
360,19,1,1,163,20,15km,15km,400,ingen P-plats
297,19,1,2,163,-20,15km,5km,200,ingen P-plats
319,19,2,1,164,10,500 meter,500 meter,400,ingen P-plats
360,19,2,2,164,20,15km,15km,400,ingen P-plats
297,19,3,1,165,-20,15km,5km,200,ingen P-plats
75,19,3,2,165,20,15km,5km,400,reserverad garageplats
383,19,4,1,166,-10,5km,5km,800,ingen P-plats
260,19,4,2,166,20,500 meter,15km,800, reserverad P-plats
75,19,5,1,167,20,15km,5km,400,reserverad garageplats
319,19,5,2,167,10,500 meter,500 meter,400,ingen P-plats
201,19,6,1,168,0,5km,5km,400, reserverad P-plats
352,19,6,2,168,-20,5km,15km,400,ingen P-plats
102,19,7,1,169,-20,15km,500 meter,800,reserverad garageplats
380,19,7,2,169,20,500 meter,5km,800,ingen P-plats
51,19,8,1,170,0,5km,500 meter,400,reserverad garageplats
213,19,8,2,170,-10,500 meter,15km,400, reserverad P-plats
232,19,9,1,171,-20,5km,500 meter,800, reserverad P-plats
124,19,9,2,171,10,500 meter,15km,800,reserverad garageplats
95,20,1,1,172,20,500 meter,500 meter,800,reserverad garageplats
201,20,1,2,172,0,5km,5km,400, reserverad P-plats
144,20,2,1,173,10,5km,500 meter,200, reserverad P-plats
148,20,2,2,173,-10,15km,500 meter,200, reserverad P-plats
333,20,3,1,174,-10,500 meter,5km,400,ingen P-plats
401,20,3,2,174,0,15km,15km,800,ingen P-plats
344,20,4,1,175,10,15km,5km,400,ingen P-plats
301,20,4,2,175,0,500 meter,15km,200,ingen P-plats
179,20,5,1,176,10,15km,15km,200, reserverad P-plats
272,20,5,2,176,-20,500 meter,500 meter,200,ingen P-plats
160,20,6,1,177,20,5km,5km,200, reserverad P-plats
152,20,6,2,177,-20,500 meter,5km,200, reserverad P-plats
43,20,7,1,178,-10,15km,15km,200,reserverad garageplats
114,20,7,2,178,10,5km,5km,800,reserverad garageplats
213,20,8,1,179,-10,500 meter,15km,400, reserverad P-plats
216,20,8,2,179,0,5km,15km,400, reserverad P-plats
352,20,9,1,180,-20,5km,15km,400,ingen P-plats
179,20,9,2,180,10,15km,15km,200, reserverad P-plats
1,21,1,1,181,0,500 meter,500 meter,200,reserverad garageplats
28,21,1,2,181,-10,15km,5km,200,reserverad garageplats
371,21,2,1,182,0,15km,500 meter,800,ingen P-plats
333,21,2,2,182,-10,500 meter,5km,400,ingen P-plats
152,21,3,1,183,-20,500 meter,5km,200, reserverad P-plats
144,21,3,2,183,10,5km,500 meter,200, reserverad P-plats
59,21,4,1,184,10,15km,500 meter,400,reserverad garageplats
368,21,4,2,184,-10,5km,500 meter,800,ingen P-plats
183,21,5,1,185,-10,500 meter,500 meter,400, reserverad P-plats
128,21,5,2,185,-10,5km,15km,800,reserverad garageplats
28,21,6,1,186,-10,15km,5km,200,reserverad garageplats
160,21,6,2,186,20,5km,5km,200, reserverad P-plats
267,21,7,1,187,-20,15km,15km,800, reserverad P-plats
280,21,7,2,187,20,5km,500 meter,200,ingen P-plats
124,21,8,1,188,10,500 meter,15km,800,reserverad garageplats
251,21,8,2,188,0,15km,5km,800, reserverad P-plats
280,21,9,1,189,20,5km,500 meter,200,ingen P-plats
67,21,9,2,189,-20,5km,5km,400,reserverad garageplats
16,22,1,1,190,0,500 meter,5km,200,reserverad garageplats
232,22,1,2,190,-20,5km,500 meter,800, reserverad P-plats
148,22,2,1,191,-10,15km,500 meter,200, reserverad P-plats
309,22,2,2,191,10,5km,15km,200,ingen P-plats
301,22,3,1,192,0,500 meter,15km,200,ingen P-plats
102,22,3,2,192,-20,15km,500 meter,800,reserverad garageplats
67,22,4,1,193,-20,5km,5km,400,reserverad garageplats
371,22,4,2,193,0,15km,500 meter,800,ingen P-plats
251,22,5,1,194,0,15km,5km,800, reserverad P-plats
183,22,5,2,194,-10,500 meter,500 meter,400, reserverad P-plats
244,22,6,1,195,10,500 meter,5km,800, reserverad P-plats
267,22,6,2,195,-20,15km,15km,800, reserverad P-plats
401,22,7,1,196,0,15km,15km,800,ingen P-plats
195,22,7,2,196,20,15km,500 meter,400, reserverad P-plats
195,22,8,1,197,20,15km,500 meter,400, reserverad P-plats
