tenure,row_type,attribute,wtp,se,lower,upper
Owner,base,dist_green5km,183,28.79515405750503,127,239
Owner,Old,dist_green5km,211,37.26097949195421,138,284
Owner,base,dist_green500m,385,40.771693199508356,305,465
Owner,Old,dist_green500m,389,51.223070480457054,289,489
Owner,base,dist_shops5km,162,35.16639074652022,93,231
Owner,Old,dist_shops5km,216,47.44596602166975,123,309
Owner,base,dist_shops500m,533,48.25099402820807,438,628
Owner,Old,dist_shops500m,664,68.9556811445259,529,799
Owner,base,dist_trans600,15,24.821613632108065,-34,64
Owner,Old,dist_trans600,136,37.00284240935516,63,209
Owner,base,dist_trans300,177,29.802564150531275,119,235
Owner,Old,dist_trans300,260,41.85666138056373,178,342
Owner,base,park_garage,515,48.453268047177495,420,610
Owner,Old,park_garage,671,71.94264393992911,530,812
Owner,base,park_space,381,35.42337004961792,312,450
Owner,Old,park_space,577,56.1905189570326,467,687
Renter,base,dist_green5km,174,49.826121117806196,76,272
Renter,Old,dist_green5km,241,66.4884123740316,111,371
Renter,base,dist_green500m,313,57.89446765412751,200,426
Renter,Old,dist_green500m,367,77.70438958712401,215,519
Renter,base,dist_shops5km,154,55.710439480822565,45,263
Renter,Old,dist_shops5km,108,63.199974863268594,-16,232
Renter,base,dist_shops500m,428,59.734176411252264,311,545
Renter,Old,dist_shops500m,343,61.41531034026651,223,463
Renter,base,dist_trans600,57,35.27298066061022,-12,126
Renter,Old,dist_trans600,23,41.73892589850374,-59,105
Renter,base,dist_trans300,120,33.25403308752329,55,185
Renter,Old,dist_trans300,149,42.73149934727691,65,233
Renter,base,park_garage,219,40.21716056323526,140,298
Renter,Old,park_garage,223,48.42469703710281,128,318
Renter,base,park_space,237,41.108145058558186,156,318
Renter,Old,park_space,264,50.28239856856314,165,363
