tenure,row_type,attribute,wtp,se,lower,upper
Owner,base,dist_green5km,195,33.335792626004924,130,260
Owner,Men,dist_green5km,207,32.18598383792241,144,270
Owner,base,dist_green500m,478,51.399501928265565,377,579
Owner,Men,dist_green500m,313,40.882039241389485,233,393
Owner,base,dist_shops5km,151,39.34238069267385,74,228
Owner,Men,dist_shops5km,215,41.45497789447553,134,296
Owner,base,dist_shops500m,618,59.26147824619542,502,734
Owner,Men,dist_shops500m,578,55.48899469293978,469,687
Owner,base,dist_trans600,100,31.86082559983232,38,162
Owner,Men,dist_trans600,44,28.443725721037854,-12,100
Owner,base,dist_trans300,288,38.841869175867686,212,364
Owner,Men,dist_trans300,157,32.815812372503416,93,221
Owner,base,park_garage,550,57.31072155292778,438,662
Owner,Men,park_garage,624,59.345140002145484,508,740
Owner,base,park_space,430,42.79872506220192,346,514
Owner,Men,park_space,518,45.528444235904374,429,607
Renter,base,dist_green5km,155,46.94461615822664,63,247
Renter,Men,dist_green5km,300,86.39089770602787,131,469
Renter,base,dist_green500m,324,57.64594671991683,211,437
Renter,Men,dist_green500m,381,98.7353940878534,187,575
Renter,base,dist_shops5km,167,53.842678512341514,61,273
Renter,Men,dist_shops5km,176,90.31359433578713,-1,353
Renter,base,dist_shops500m,366,48.12091549995834,272,460
Renter,Men,dist_shops500m,510,106.09861079263648,302,718
Renter,base,dist_trans600,60,30.403768627783204,0,120
Renter,Men,dist_trans600,29,55.975501184864385,-81,139
Renter,base,dist_trans300,162,36.565674369789946,90,234
Renter,Men,dist_trans300,89,50.718464197373336,-10,188
Renter,base,park_garage,226,40.59853708858618,146,306
Renter,Men,park_garage,268,71.81424636958809,127,409
Renter,base,park_space,244,37.69341338869461,170,318
Renter,Men,park_space,249,61.19278800821538,129,369
