tenure,row_type,attribute,wtp,se,lower,upper
Owner,base,dist_green5km,147,51.83425231265849,45,249
Owner,Good,dist_green5km,211,26.31252048311674,159,263
Owner,base,dist_green500m,293,71.60770518529331,153,433
Owner,Good,dist_green500m,416,36.925909851377526,344,488
Owner,base,dist_shops5km,220,71.01408137536485,81,359
Owner,Good,dist_shops5km,176,31.655179287118784,114,238
Owner,base,dist_shops500m,548,89.14991648946129,373,723
Owner,Good,dist_shops500m,590,44.847460127560154,502,678
Owner,base,dist_trans600,164,56.605893016958305,53,275
Owner,Good,dist_trans600,47,23.025499326788285,2,92
Owner,base,dist_trans300,291,67.38349626247992,159,423
Owner,Good,dist_trans300,206,27.366234300486102,152,260
Owner,base,park_garage,594,101.50322026165908,395,793
Owner,Good,park_garage,579,45.52323301793758,490,668
Owner,base,park_space,513,81.31206941982114,354,672
Owner,Good,park_space,464,34.3861645183864,397,531
Renter,base,dist_green5km,116,76.46544934901449,-34,266
Renter,Good,dist_green5km,223,47.861686708401926,129,317
Renter,base,dist_green500m,252,95.02856972925181,66,438
Renter,Good,dist_green500m,360,58.16287685780801,246,474
Renter,base,dist_shops5km,160,106.42648500464745,-49,369
Renter,Good,dist_shops5km,158,51.6874623175958,57,259
Renter,base,dist_shops500m,477,113.59251600161863,254,700
Renter,Good,dist_shops500m,387,51.67970999253097,286,488
Renter,base,dist_trans600,85,67.284024547884,-47,217
Renter,Good,dist_trans600,25,31.572572208744006,-37,87
Renter,base,dist_trans300,252,70.94890533830035,113,391
Renter,Good,dist_trans300,93,31.003525395515528,32,154
Renter,base,park_garage,228,77.96908086838137,75,381
Renter,Good,park_garage,216,34.392132537693875,149,283
Renter,base,park_space,256,75.28154934816729,108,404
Renter,Good,park_space,250,36.25415061647544,179,321
